region,site,site_code,shrub_density,lat,long,n_shrub,shrub_ID,shrub_lat,shrub_long,x,y,z,microsite,rep
Mojave,shrub,Tecopa,high,35.85267,-116.18457,10,10,35.85285,-116.18472,128,105,99,4,151
Mojave,open,Tecopa,open,35.85489,-116.17944,,,,,,,,1,152
Mojave,open,Tecopa,open,35.85489,-116.17944,,,,,,,,1,153
Mojave,open,Tecopa,open,35.8544,-116.17934,,,,,,,,2,154
Mojave,open,Tecopa,open,35.8544,-116.17934,,,,,,,,2,155
Mojave,open,Tecopa,open,35.85479,-116.17885,,,,,,,,3,156
Mojave,open,Tecopa,open,35.85479,-116.17885,,,,,,,,3,157
Mojave,open,Tecopa,open,35.85521,-116.17858,,,,,,,,4,158
Mojave,open,Tecopa,open,35.85521,-116.17858,,,,,,,,4,159
Cuyama,1,Cuyama_1,high,34.84879,-119.48412,14,1,34.84867,-119.48421,310,306,133,1,160
Cuyama,1,Cuyama_1,high,34.84879,-119.48412,14,2,34.84874,-119.48428,329,275,136,1,161
Cuyama,1,Cuyama_1,high,34.84879,-119.48412,14,3,34.84882,-119.48426,258,208,122,1,162
Cuyama,1,Cuyama_1,high,34.84879,-119.48412,14,4,34.84892,-119.48418,301,174,90,1,163
Cuyama,1,Cuyama_1,high,34.84879,-119.48412,14,5,34.84894,-119.4841,236,190,117,1,164
Cuyama,1,Cuyama_1,high,34.84879,-119.48412,14,6,34.84896,-119.48405,479,296,188,1,165
Cuyama,1,Cuyama_1,high,34.84879,-119.48412,14,7,34.84892,-119.48399,543,358,193,1,166
Cuyama,1,Cuyama_1,high,34.84879,-119.48412,14,8,34.84889,-119.48411,314,220,180,1,167
Cuyama,1,Cuyama_1,high,34.84879,-119.48412,14,9,34.84882,-119.48412,287,276,132,1,168
Cuyama,1,Cuyama_1,high,34.84879,-119.48412,14,10,34.84882,-119.48399,470,387,165,1,169
Cuyama,1,Cuyama_1,high,34.84879,-119.48412,14,11,34.84875,-119.48398,352,280,216,1,170
Cuyama,1,Cuyama_1,high,34.84879,-119.48412,14,12,34.84874,-119.48393,332,317,162,1,171
