state,desert,region,experiment,site_acronym,sub_site,site_code,foundation,lat,long,elevation,MAT,MAP,aridity,aspect,shrubs_manually_counted,viable_shrub_open_contrast,experimental_removal,density_monitoring_2022_MZ,shelters_2022_NG,GBIF_birds_ZHW,area_m2,area_calc,polygon_block,area_block_m2
California,Mojave,Mojave,magnet,Kelso,2,Kelso_2,Larrea tridentata,35.31008,-115.39279,,15.4,232,1.414634146,,n,no,no,no,no,no,79114.05,polygon,Kelso dunes,694386420.8
California,Mojave,Mojave,magnet,Kelso,3,Kelso_3,Larrea tridentata,35.41113,-115.401584,,17.2,169,0.928571429,,n,no,no,no,no,no,38932.04,polygon,Kelso dunes,694386420.8
California,Mojave,Mojave,magnet,Kelso,4,Kelso_4,Larrea tridentata,35.41392,-115.393789,,17.2,169,0.928571429,,n,no,no,no,no,no,101147.41,polygon,Kelso dunes,694386420.8
California,Mojave,Mojave,magnet,Kelso,5,Kelso_5,Larrea tridentata,35.061279,-115.664356,,18.4,162,0.835051546,,n,no,no,no,no,no,100701.35,polygon,Kelso dunes,694386420.8
California,Mojave,Mojave,polllinator networks,Sunset Cove,1,Sunset_1,Cylindropuntia acanthocarpa,34.782643,-115.662498,1321,18.6,176,0.897959184,,n,no,no,no,no,no,272961.23,polygon,Granites,1668398.95
California,Mojave,Mojave,polllinator networks,Sunset Cove,2,Sunset_2,Larrea tridentata,34.776453,-115.660723,1283,18.6,176,0.897959184,,n,no,no,no,no,no,343997.02,polygon,Granites,1668398.95
California,San Joaquin,Panoche,shrub contrast,PAN1,1.1,Panoche_1,Ephedra californica,36.69533,-120.7972,661,14.2,398,2.802816901,plateau,y,yes,no,no,no,yes,453392.69,polygon,Panoche,1722195.13
California,San Joaquin,Panoche,shrub contrast,PAN2,1.2,Panoche_2,Ephedra californica,36.70654,-120.812,611,14.4,377,2.618055556,south,y,yes,no,no,no,no,276336.27,polygon,Panoche,1722195.13
California,San Joaquin,Panoche,shrub contrast,PAN3,1.3,Panoche_3,Ephedra californica,36.70554,-120.81229,596,14.4,377,2.618055556,north,y,yes,no,no,no,no,252374.92,polygon,Panoche,1722195.13
California,San Joaquin,Panoche,ERG,PanocheHills,1,Panoche_ERG,Ephedra californica,36.70000998,-120.801116,656.320862,14.4,381,2.474025974,,y,yes,no,no,no,no,131465.66,polygon,Panoche,1722195.13
California,San Joaquin,Panoche,BNLL diet,Panoche Plateau,PaPL,Panoche_plateau,Ephedra californica,36.7001,-120.8019,,,,,,y,yes,no,no,no,no,116911.8,polygon,Panoche,1722195.13
California,San Joaquin,Panoche,BNLL diet,Mountain View Rd,Mov,Panoche_mtnview,open,36.562866,-120.546768,,,,,,n,no,no,no,no,yes,190780.07,polygon,none,NA
California,San Joaquin,Panoche,BNLL diet,Silver Creek Ranch,SiCr,Panoche_silvercreek,Ephedra californica,36.585782,-120.688315,273,,,,,n,no,no,no,no,yes,220830.87,polygon,none,NA
California,San Joaquin,San Joaquin,ERG,TejonRanch,3,Tejon_ERG,Ephedra californica,34.875994,-118.60246,1118.022,13.7,305,2.074829932,,n,no,no,no,no,yes,174780.53,polygon,none,NA
California,San Joaquin,San Joaquin,BNLL diet,Semi-tropic,SemiT,Semitropic,Ephedra californica,35.65927718,-119.6072509,,,,,,n,no,no,no,no,yes,215049.59,polygon,none,NA
California,Mojave,Mojave,invasion ,Yucca Grove,YG,Yucca_grove,Larrea tridentata,35.41,-115.8,,14.32,231,9.5,,n,yes,no,no,no,no,31833.65,polygon,none,NA
California,Mojave,Mojave,invasion ,Barstow_2,B2,Barstow_2,Ephedra californica,35.02,-117.98,,17,170,6.3,,n,yes,no,no,no,no,7542.48,polygon,none,NA
Nevada,Mojave,Mojave,invasion ,Cal-Nev-Ari,CNA,Cal_nev_ari,Larrea tridentata,35.4,-114.9,,17.5,211,7.8,,n,yes,no,no,no,no,4535.87,polygon,none,NA
Nevada,Mojave,Mojave,invasion ,Mesquite,MM,Mesquite,Larrea tridentata,36.76,-114.07,,18.35,141,4.98,,n,yes,no,no,no,no,2157,polygon,none,NA
Nevada,Mojave,Mojave,invasion ,Las Vegas,LV,Las_vegas,Larrea tridentata,36.45,-114.96,,20.75,106,3.44,,n,yes,no,no,no,no,1967.6,polygon,none,NA
California,Mojave,Mojave,invasion ,Antelope_valley,,Antelope_valley,Ephedra californica,34.87623299,-118.602041,,,,,,,,,,,,105094.79,,,
