rep,site,site_code,date,microsite_number,microsite,shrub_ID,shrub_number,total_shrub,microsite_lat,microsite_long,shrub_lat,shrub_long,x,y,z,ground_temp,RH,handheld_temp,camera1_lat,camera1_long,camera2_lat,camera2_long,pendant1_lat,pendant1_long,pendant2_lat,pendant2_long,,
118,Mojave,Tecopa_shrub,04/25/2023,1,Density,102,9,10,35.85266,-116.18361,35.85274,-116.18382,79,59,64,27.65,12.43,36.7,35.85266,-116.18361,35.85286,-116.184,35.85288,-116.18394,35.85277,-116.18387,,
119,Mojave,Tecopa_shrub,04/25/2023,1,Density,103,10,10,35.85266,-116.18361,35.85277,-116.18387,95,90,70,27.27,12.44,26.5,35.85266,-116.18361,35.85286,-116.184,35.85288,-116.18394,35.85277,-116.18387,,
120,Mojave,Tecopa_shrub,04/25/2023,2,Density,104,1,11,35.85282,-116.18338,35.8529,-116.18345,332,205,190,25.16,14.33,28.2,35.85289,-116.18351,35.85275,-116.18314,35.8529,-116.18345,35.85287,-116.18432,,17431
121,Mojave,Tecopa_shrub,04/25/2023,2,Density,105,2,11,35.85266,-116.18361,35.85289,-116.18333,134,126,167,26.61,12.99,26,35.85289,-116.18351,35.85275,-116.18314,35.8529,-116.18345,35.85287,-116.18432,,
122,Mojave,Tecopa_shrub,04/25/2023,2,Density,106,3,11,35.85266,-116.18361,35.85285,-116.18329,134,127,146,26.67,13.11,28.9,35.85289,-116.18351,35.85275,-116.18314,35.8529,-116.18345,35.85287,-116.18432,,
123,Mojave,Tecopa_shrub,04/25/2023,2,Density,107,4,11,35.85266,-116.18361,35.85288,-116.1833,98,90,127,26.96,13.32,43.6,35.85289,-116.18351,35.85275,-116.18314,35.8529,-116.18345,35.85287,-116.18432,,
124,Mojave,Tecopa_shrub,04/25/2023,2,Density,108,5,11,35.85266,-116.18361,35.85283,-116.18314,194,175,112,26.85,13.28,26.4,35.85289,-116.18351,35.85275,-116.18314,35.8529,-116.18345,35.85287,-116.18432,,
125,Mojave,Tecopa_shrub,04/25/2023,2,Density,109,6,11,35.85266,-116.18361,35.85272,-116.1832,148,140,114,26.67,13.61,44,35.85289,-116.18351,35.85275,-116.18314,35.8529,-116.18345,35.85287,-116.18432,,
126,Mojave,Tecopa_shrub,04/25/2023,2,Density,110,7,11,35.85266,-116.18361,35.85273,-116.18323,93,84,111,26.71,13.4,37.9,35.85289,-116.18351,35.85275,-116.18314,35.8529,-116.18345,35.85287,-116.18432,,
127,Mojave,Tecopa_shrub,04/25/2023,2,Density,111,8,11,35.85266,-116.18361,35.85275,-116.18326,123,108,94,26.75,13.86,36.7,35.85289,-116.18351,35.85275,-116.18314,35.8529,-116.18345,35.85287,-116.18432,,
128,Mojave,Tecopa_shrub,04/25/2023,2,Density,112,9,11,35.85266,-116.18361,35.85271,-116.1833,219,131,116,26.89,13.78,27.8,35.85289,-116.18351,35.85275,-116.18314,35.8529,-116.18345,35.85287,-116.18432,,
129,Mojave,Tecopa_shrub,04/25/2023,2,Density,113,10,11,35.85266,-116.18361,35.85284,-116.18341,192,140,125,26.68,13.07,31.6,35.85289,-116.18351,35.85275,-116.18314,35.8529,-116.18345,35.85287,-116.18432,,
130,Mojave,Tecopa_shrub,04/25/2023,2,Density,114,11,11,35.85266,-116.18361,35.85283,-116.18346,115,100,113,26.6,13.35,25.7,35.85289,-116.18351,35.85275,-116.18314,35.8529,-116.18345,35.85287,-116.18432,,
131,Mojave,Tecopa_shrub,04/25/2023,3,Density,115,1,11,35.8528,-116.18421,35.85294,-116.18427,291,247,137,27.54,12.87,30.9,35.85263,-116.18413,35.85297,-116.18432,35.85294,-116.18427,35.85287,-116.18432,,17409
132,Mojave,Tecopa_shrub,04/25/2023,3,Density,116,2,11,35.8528,-116.18421,35.85291,-116.1843,128,117,115,27.73,12.34,27.3,35.85263,-116.18413,35.85297,-116.18432,35.85294,-116.18427,35.85287,-116.18432,,
133,Mojave,Tecopa_shrub,04/25/2023,3,Density,117,3,11,35.8528,-116.18421,35.85288,-116.18421,128,106,122,27.87,13.59,27.9,35.85263,-116.18413,35.85297,-116.18432,35.85294,-116.18427,35.85287,-116.18432,,
134,Mojave,Tecopa_shrub,04/25/2023,3,Density,118,4,11,35.8528,-116.18421,35.85278,-116.18414,70,55,101,27.71,12.51,35.6,35.85263,-116.18413,35.85297,-116.18432,35.85294,-116.18427,35.85287,-116.18432,,
135,Mojave,Tecopa_shrub,04/25/2023,3,Density,119,5,11,35.8528,-116.18421,35.85274,-116.18415,96,62,79,27.36,12.4,35.6,35.85263,-116.18413,35.85297,-116.18432,35.85294,-116.18427,35.85287,-116.18432,,
136,Mojave,Tecopa_shrub,04/25/2023,3,Density,120,6,11,35.8528,-116.18421,35.85268,-116.18417,164,97,94,27.3,12.03,29.3,35.85263,-116.18413,35.85297,-116.18432,35.85294,-116.18427,35.85287,-116.18432,,
137,Mojave,Tecopa_shrub,04/25/2023,3,Density,121,7,11,35.8528,-116.18421,35.85269,-116.18409,101,88,69,27.87,12.36,28.3,35.85263,-116.18413,35.85297,-116.18432,35.85294,-116.18427,35.85287,-116.18432,,
138,Mojave,Tecopa_shrub,04/25/2023,3,Density,122,8,11,35.8528,-116.18421,35.85266,-116.18423,125,88,104,27.42,12.7,24.7,35.85263,-116.18413,35.85297,-116.18432,35.85294,-116.18427,35.85287,-116.18432,,
139,Mojave,Tecopa_shrub,04/25/2023,3,Density,123,9,11,35.8528,-116.18421,35.85268,-116.18422,89,80,78,26.72,13.25,23.4,35.85263,-116.18413,35.85297,-116.18432,35.85294,-116.18427,35.85287,-116.18432,,
140,Mojave,Tecopa_shrub,04/25/2023,3,Density,124,10,11,35.8528,-116.18421,35.8528,-116.18428,63,33,58,27.34,13.9,30.6,35.85263,-116.18413,35.85297,-116.18432,35.85294,-116.18427,35.85287,-116.18432,,
141,Mojave,Tecopa_shrub,04/25/2023,3,Density,125,11,11,35.8528,-116.18421,35.85287,-116.18432,95,87,111,27.41,13.26,37.5,35.85263,-116.18413,35.85297,-116.18432,35.85294,-116.18427,35.85287,-116.18432,,
142,Mojave,Tecopa_shrub,04/25/2023,4,Density,115,1,10,35.85267,-116.18457,35.85282,-116.18468,108,86,96,27.15,12.07,34.9,35.85253,-116.18447,35.85283,-116.18468,35.85282,-116.18468,35.85253,-116.18451,18246,17429
143,Mojave,Tecopa_shrub,04/25/2023,4,Density,116,2,10,35.85267,-116.18457,35.85278,-116.18451,69,63,66,27.86,11.01,37,35.85253,-116.18447,35.85283,-116.18468,35.85282,-116.18468,35.85253,-116.18451,,
144,Mojave,Tecopa_shrub,04/25/2023,4,Density,117,3,10,35.85267,-116.18457,35.85276,-116.18447,133,80,53,27.84,11.65,38.6,35.85253,-116.18447,35.85283,-116.18468,35.85282,-116.18468,35.85253,-116.18451,,
145,Mojave,Tecopa_shrub,04/25/2023,4,Density,118,4,10,35.85267,-116.18457,35.85263,-116.18444,153,73,78,27.76,11.8,43.2,35.85253,-116.18447,35.85283,-116.18468,35.85282,-116.18468,35.85253,-116.18451,,
146,Mojave,Tecopa_shrub,04/25/2023,4,Density,119,5,10,35.85267,-116.18457,35.85263,-116.18448,137,72,68,27.55,11.87,39.4,35.85253,-116.18447,35.85283,-116.18468,35.85282,-116.18468,35.85253,-116.18451,,
